Level,Date and Time,Source,Event ID,Task Category
Information,11/13/2021 6:18:03 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54015 ssh2: RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4
Information,11/13/2021 6:18:03 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 54015 on 192.168.137.223 port 22
Information,11/13/2021 6:17:56 PM,OpenSSH,4,None,sshd: Read error from remote host 192.168.137.1 port 54014: Unknown error
Information,11/13/2021 6:17:56 PM,OpenSSH,4,None,sshd: Close session: user administrator from 192.168.137.1 port 54014 id 0
Information,11/13/2021 6:17:56 PM,OpenSSH,4,None,sshd: Starting session: command for administrator from 192.168.137.1 port 54014 id 0
Information,11/13/2021 6:17:56 PM,OpenSSH,4,None,sshd: User child is on pid 704
Information,11/13/2021 6:17:56 PM,OpenSSH,4,None,sshd: Accepted password for administrator from 192.168.137.1 port 54014 ssh2
Information,11/13/2021 6:17:54 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54014 ssh2: RSA SHA256:29pSkhNrfgLWfpKr6g65TepeEhWriSTMyRIcy++J2Ms
Information,11/13/2021 6:17:54 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54014 ssh2: RSA SHA256:/IhC2lfLcz7mXTcwz9qSIWOR7+DwqT2S160j9URFvaA
Information,11/13/2021 6:17:54 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54014 ssh2: RSA SHA256:Ukq+1ip/EPQ0iS3Azyjey36CGqhKmXHjQ+7AoRzttz4
Information,11/13/2021 6:17:54 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 54014 on 192.168.137.223 port 22
Information,11/13/2021 6:15:46 PM,OpenSSH,4,None,sshd: Disconnected from 192.168.137.1 port 54007
Information,11/13/2021 6:15:46 PM,OpenSSH,4,None,sshd: Received disconnect from 192.168.137.1 port 54007:11: disconnected by user
Information,11/13/2021 6:15:46 PM,OpenSSH,4,None,sshd: Close session: user administrator from 192.168.137.1 port 54007 id 0
Information,11/13/2021 6:15:45 PM,OpenSSH,4,None,sshd: Starting session: shell on windows-pty for administrator from 192.168.137.1 port 54007 id 0
Information,11/13/2021 6:15:45 PM,OpenSSH,4,None,sshd: User child is on pid 2288
Information,11/13/2021 6:15:45 PM,OpenSSH,4,None,sshd: Accepted password for administrator from 192.168.137.1 port 54007 ssh2
Information,11/13/2021 6:15:42 PM,OpenSSH,4,None,sshd: Failed password for administrator from 192.168.137.1 port 54007 ssh2
Information,11/13/2021 6:15:40 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54007 ssh2: RSA SHA256:29pSkhNrfgLWfpKr6g65TepeEhWriSTMyRIcy++J2Ms
Information,11/13/2021 6:15:40 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54007 ssh2: RSA SHA256:/IhC2lfLcz7mXTcwz9qSIWOR7+DwqT2S160j9URFvaA
Information,11/13/2021 6:15:39 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 54007 on 192.168.137.223 port 22
Information,11/13/2021 6:15:34 PM,OpenSSH,4,None,sshd: Read error from remote host 192.168.137.1 port 54005: Unknown error
Information,11/13/2021 6:15:34 PM,OpenSSH,4,None,sshd: Close session: user administrator from 192.168.137.1 port 54005 id 0
Information,11/13/2021 6:15:34 PM,OpenSSH,4,None,sshd: Starting session: command for administrator from 192.168.137.1 port 54005 id 0
Information,11/13/2021 6:15:34 PM,OpenSSH,4,None,sshd: User child is on pid 2748
Information,11/13/2021 6:15:34 PM,OpenSSH,4,None,sshd: Accepted password for administrator from 192.168.137.1 port 54005 ssh2
Information,11/13/2021 6:15:32 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54005 ssh2: RSA SHA256:29pSkhNrfgLWfpKr6g65TepeEhWriSTMyRIcy++J2Ms
Information,11/13/2021 6:15:32 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54005 ssh2: RSA SHA256:/IhC2lfLcz7mXTcwz9qSIWOR7+DwqT2S160j9URFvaA
Information,11/13/2021 6:15:31 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 54005 on 192.168.137.223 port 22
Information,11/13/2021 6:15:30 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 6:15:30 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 6:15:20 PM,OpenSSH,4,None,sshd: Connection reset by authenticating user administrator 192.168.137.1 port 54004 [preauth]
Information,11/13/2021 6:15:20 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54004 ssh2: RSA SHA256:29pSkhNrfgLWfpKr6g65TepeEhWriSTMyRIcy++J2Ms
Information,11/13/2021 6:15:20 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 54004 ssh2: RSA SHA256:/IhC2lfLcz7mXTcwz9qSIWOR7+DwqT2S160j9URFvaA
Information,11/13/2021 6:15:20 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 54004 on 192.168.137.223 port 22
Information,11/13/2021 6:14:14 PM,OpenSSH,4,None,sshd: Connection reset by authenticating user administrator 192.168.137.1 port 53999 [preauth]
Information,11/13/2021 6:14:14 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 53999 ssh2: RSA SHA256:29pSkhNrfgLWfpKr6g65TepeEhWriSTMyRIcy++J2Ms
Information,11/13/2021 6:14:14 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 53999 ssh2: RSA SHA256:/IhC2lfLcz7mXTcwz9qSIWOR7+DwqT2S160j9URFvaA
Information,11/13/2021 6:14:14 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 53999 on 192.168.137.223 port 22
Information,11/13/2021 6:13:15 PM,OpenSSH,4,None,sshd: Connection reset by authenticating user administrator 192.168.137.1 port 53957 [preauth]
Information,11/13/2021 6:13:15 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 53957 ssh2: RSA SHA256:/IhC2lfLcz7mXTcwz9qSIWOR7+DwqT2S160j9URFvaA
Information,11/13/2021 6:13:15 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 53957 ssh2: RSA SHA256:29pSkhNrfgLWfpKr6g65TepeEhWriSTMyRIcy++J2Ms
Information,11/13/2021 6:13:15 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 53957 on 192.168.137.223 port 22
Information,11/13/2021 6:13:12 PM,OpenSSH,4,None,sshd: Server listening on 0.0.0.0 port 22.
Information,11/13/2021 6:13:12 PM,OpenSSH,4,None,sshd: Server listening on :: port 22.
Information,11/13/2021 6:12:18 PM,OpenSSH,4,None,sshd: Read error from remote host 192.168.137.1 port 53950: Unknown error
Information,11/13/2021 6:12:18 PM,OpenSSH,4,None,sshd: Close session: user administrator from 192.168.137.1 port 53950 id 0
Information,11/13/2021 6:12:14 PM,OpenSSH,4,None,sshd: Starting session: shell on windows-pty for administrator from 192.168.137.1 port 53950 id 0
Information,11/13/2021 6:12:14 PM,OpenSSH,4,None,sshd: User child is on pid 3688
Information,11/13/2021 6:12:14 PM,OpenSSH,4,None,sshd: Accepted password for administrator from 192.168.137.1 port 53950 ssh2
Information,11/13/2021 6:12:11 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 53950 ssh2: RSA SHA256:/IhC2lfLcz7mXTcwz9qSIWOR7+DwqT2S160j9URFvaA
Information,11/13/2021 6:12:11 PM,OpenSSH,4,None,sshd: Failed publickey for administrator from 192.168.137.1 port 53950 ssh2: RSA SHA256:29pSkhNrfgLWfpKr6g65TepeEhWriSTMyRIcy++J2Ms
Information,11/13/2021 6:12:11 PM,OpenSSH,4,None,sshd: Connection from 192.168.137.1 port 53950 on 192.168.137.223 port 22
Information,11/13/2021 6:12:09 PM,OpenSSH,4,None,sshd: Disconnected from 192.168.137.1 port 53949
