Level,Date and Time,Source,Event ID,Task Category
Information,11/14/2021 4:54:51 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 4:54:46 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 4:54:43 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 4:54:43 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/14/2021 1:53:18 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Information,11/14/2021 4:24:13 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 2"
Information,11/14/2021 4:24:13 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,25,None,"Remote Desktop Services: Session reconnection succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 4:24:13 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,40,None,"Session 1 has been disconnected, reason code 5"
Information,11/14/2021 4:24:13 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,40,None,"Session 2 has been disconnected, reason code 0"
Information,11/14/2021 4:24:13 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 2"
Information,11/14/2021 4:24:01 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/14/2021 4:24:01 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,24,None,"Remote Desktop Services: Session has been disconnected:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: 192.168.137.1"
Information,11/14/2021 4:24:00 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,40,None,"Session 1 has been disconnected, reason code 0"
Information,11/14/2021 4:20:43 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,25,None,"Remote Desktop Services: Session reconnection succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: 192.168.137.1"
Information,11/14/2021 4:20:39 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,24,None,"Remote Desktop Services: Session has been disconnected:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/14/2021 4:20:38 AM,Microsoft-Windows-TerminalServices-LocalSessionManager,40,None,"Session 1 has been disconnected, reason code 5"
Information,11/14/2021 4:20:38 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1149,None,"Remote Desktop Services: User authentication succeeded:

User: administrator
Domain: 
Source Network Address: 192.168.137.1"
Information,11/14/2021 4:20:38 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,261,None,Listener RDP-Tcp received a connection
Information,11/14/2021 4:20:26 AM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,261,None,Listener RDP-Tcp received a connection
Information,11/13/2021 6:43:17 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/13/2021 6:43:17 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/13/2021 6:43:17 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/13/2021 6:43:17 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/13/2021 6:43:17 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,1136,None,RD Session Host Server role is not installed.
Information,11/13/2021 6:43:17 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/13/2021 6:43:17 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,258,None,Listener RDP-Tcp has started listening
Information,11/13/2021 6:43:16 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,20523,None,Connection from listener RDP-Tcp will have terminal class of {5828227c-20cf-4408-b73f-73ab70b8849f}
Information,11/13/2021 6:43:16 PM,Microsoft-Windows-TerminalServices-RemoteConnectionManager,263,None,WDDM graphics mode is enabled
Information,11/13/2021 6:09:10 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/13/2021 6:09:06 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/13/2021 6:09:03 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 6:09:03 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 6:07:40 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Information,11/13/2021 6:06:36 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,11/13/2021 6:06:36 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:39:52 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/13/2021 5:39:48 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/13/2021 5:39:45 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:39:45 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:38:46 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Information,11/13/2021 5:37:43 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,11/13/2021 5:37:43 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:35:03 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/13/2021 5:34:59 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/13/2021 5:34:57 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:34:57 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:33:48 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Information,11/13/2021 5:32:53 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,11/13/2021 5:32:53 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:21:17 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/13/2021 5:21:12 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/13/2021 5:21:10 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:21:10 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:20:13 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Information,11/13/2021 5:19:18 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,11/13/2021 5:19:18 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:12:50 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/13/2021 5:12:46 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,21,None,"Remote Desktop Services: Session logon succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
Information,11/13/2021 5:12:44 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,42,None,"End session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:12:44 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,41,None,"Begin session arbitration:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 5:11:47 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,32,None,Plugin RDSAppXPlugin has been successfully initialized
Information,11/13/2021 5:10:40 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,54,None,Local multi-user session manager received system shutdown message
Information,11/13/2021 5:10:40 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,23,None,"Remote Desktop Services: Session logoff succeeded:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1"
Information,11/13/2021 4:53:11 PM,Microsoft-Windows-TerminalServices-LocalSessionManager,22,None,"Remote Desktop Services: Shell start notification received:

User: WIN-V43N4HLGRLN\Administrator
Session ID: 1
Source Network Address: LOCAL"
